Name,Age,Tm,Max,Pitch_num,Speed,strikeout,G,GS,W,L,IP,Lev,CH,CU,EP,FC,FF,FO,FS,FT,KC,KN,PO,SC,SI,SL
Mike Clevinger,26,Cleveland,FF,2154,87.51514869888484,0.06499535747446611,27,21,12.0,6.0,121.2,MLB-AL,0.16310408921933087,0.11431226765799256,,,0.5274163568773235,,,0.004646840148698885,,,,,,0.19052044609665428
Tyler Clippard,32,"Houston,New York,Chicago",FF,1113,84.21051212938002,0.0646900269541779,67,0,2.0,8.0,60.1,MLB-AL,0.3557951482479784,,,,0.38005390835579517,,0.2641509433962264,,,,,,,
Alex Cobb,29,Tampa Bay,FF,2849,87.00544432736223,0.044928044928044926,29,29,12.0,10.0,179.1,MLB-AL,,,,,0.5163329820864068,,0.1426062521952933,,0.3407095187917106,,0.00035124692658939234,,,
A.J. Cole,25,Washington,FF,937,88.63297758804704,0.04695837780149413,11,8,3.0,5.0,52.0,MLB-NL,0.06510138740661686,0.17716115261472787,,,0.4599786552828175,,,0.08751334044823907,,,,,,0.2102454642475987
Gerrit Cole,26,Pittsburgh,FF,3298,91.8575304878049,0.05942995755003032,33,33,12.0,12.0,203.0,MLB-NL,0.10332215787869552,,,,0.47058823529411764,,,0.13075281926242,0.12099969521487351,,0.0009143553794574825,,,0.17342273697043584
Josh Collmenter,31,Atlanta,FC,327,80.2277777777778,0.05504587155963303,11,0,,2.0,17.0,MLB-NL,0.33986928104575165,0.11764705882352941,,0.5228758169934641,0.0196078431372549,,,,,,,,,
Alex Colome,28,Tampa Bay,FC,996,91.40341708542718,0.05823293172690763,65,0,2.0,3.0,66.2,MLB-AL,0.04623115577889447,,,0.629145728643216,0.3246231155778894,,,,,,,,,
Bartolo Colon,44,"Minnesota,Atlanta",FT,2286,86.72683033757112,0.0389326334208224,28,28,7.0,14.0,143.0,"MLB-AL,MLB-NL",0.09772129710780017,,,0.003067484662576687,0.1971954425942156,,,0.6292725679228747,,,,,,0.07274320771253287
Adam Conley,27,Miami,FF,1723,87.4477325581396,0.04178757980266976,22,20,8.0,8.0,102.2,MLB-NL,0.18593840790238234,,,,0.6391632771644393,,,,,,,,,0.1748983149331784
Patrick Corbin,27,Arizona,SL,3084,87.18999025024381,0.05771725032425422,33,32,14.0,13.0,189.2,MLB-NL,0.09179370742783004,,,,0.27278624716185534,,,0.2591631527732728,,,,,,0.3762568926370418
Jarred Cosart,27,San Diego,SI,485,88.31999999999995,0.030927835051546393,7,6,,2.0,24.0,MLB-NL,0.08453608247422681,,,0.004123711340206186,0.10721649484536082,,,,0.12989690721649486,,,,0.5711340206185567,0.10309278350515463
Jharel Cotton,25,Oakland,FF,2173,87.35630484988464,0.04832029452369995,24,24,9.0,10.0,129.0,MLB-AL,0.21590383726306056,0.08599167822468794,,,0.337956541840037,,,0.13453536754507628,,,,,,0.22561257512713823
Danny Coulombe,27,Oakland,CU,905,85.69182320441995,0.0430939226519337,72,0,2.0,2.0,51.2,MLB-AL,0.0033149171270718232,0.37458563535911604,,,0.1591160220994475,,,,,,,,0.13591160220994475,0.3270718232044199
Dylan Covey,25,Chicago,FF,1159,88.93364969801559,0.03537532355478861,18,12,,7.0,70.0,MLB-AL,0.1095772217428818,0.11561691113028473,,0.04055220017256255,0.29335634167385677,,,0.27782571182053495,,,,,,0.1630716134598792
Stefan Crichton,25,Baltimore,SI,246,90.46260162601622,0.032520325203252036,8,0,,,12.1,MLB-AL,,,,,0.06504065040650407,,,,,,,,0.6056910569105691,0.32926829268292684
Kyle Crick,24,San Francisco,FF,606,92.49818181818189,0.0462046204620462,30,0,,,32.1,MLB-NL,0.05289256198347107,,,0.3090909090909091,0.4,,,0.03471074380165289,,,,,,0.20330578512396694
Johnny Cueto,31,San Francisco,FF,2533,87.43234126984137,0.053691275167785234,25,25,8.0,8.0,147.1,MLB-NL,0.20356435643564355,0.001188118811881188,,0.06217821782178218,0.31762376237623763,,,0.18574257425742574,,,,,,0.2297029702970297
Yu Darvish,30,"Los Angeles,Texas",FF,3305,89.0442518248176,0.06747352496217851,31,31,10.0,12.0,186.2,"MLB-NL,MLB-AL",0.025851581508515815,0.055656934306569344,0.0015206812652068127,0.1517639902676399,0.3427615571776156,,,0.16727493917274938,,,,,,0.25517031630170317
Zach Davies,24,Milwaukee,FT,3089,85.35102106969197,0.04014244091939139,33,33,17.0,9.0,191.1,MLB-NL,0.13974650633734156,0.15437114072148198,,0.127396815079623,,,,0.5784855378615534,,,,,,
