Name,CH,CU,EP,FC,FF,FO,FS,FT,KC,KN,PO,SC,SI,SL
Domingo German,0.213438735,0.280632411,0,0,0.391304348,0,0,0.114624506,0,0,0,0,0,0
Kyle Gibson,0.145649674,0.103487926,0,0,0.224607129,0,0,0.354158681,0,0,0,0,0,0.172096589
Ken Giles,0.000896057,0,0,0,0.541218638,0,0,0,0,0,0,0,0,0.457885305
Lucas Giolito,0.164051355,0.114122682,0,0,0.495007133,0,0,0.102710414,0,0,0,0,0,0.124108417
Mychal Givens,0.090771558,0,0,0.017397882,0.702723147,0,0,0.002269289,0,0,0.00075643,0,0,0.186081694
Tyler Glasnow,0.103278689,0.227868852,0,0,0.337704918,0,0,0.330327869,0,0,0.000819672,0,0,0
Koda Glover,0.064308682,0.083601286,0,0,0.276527331,0,0,0,0,0,0,0,0.096463023,0.479099678
Zack Godley,0.072900158,0.003565769,0,0.144611727,0.148177496,0,0,0,0.355784469,0,0.000396197,0,0.274564184,0
Erik Goeddel,0.353293413,0.185628743,0,0,0.459081836,0,0,0,0,0,0,0,0,0.001996008
Luiz Gohara,0.099537037,0,0,0,0.476851852,0,0,0.094907407,0,0,0,0,0,0.328703704
Brad Goldberg,0.13740458,0,0,0,0.244274809,0,0,0,0,0,0,0,0.358778626,0.259541985
Jeanmar Gomez,0.24099723,0,0,0,0.033240997,0,0,0,0,0,0,0,0.592797784,0.132963989
Marco Gonzales,0.310984308,0.165477889,0,0,0,0,0,0,0,0,0,0,0.523537803,0
Gio Gonzalez,0.188034188,0.250997151,0,0,0.357264957,0,0,0.203703704,0,0,0,0,0,0
Miguel Gonzalez,0.004352988,0.167787891,0,0,0.262366442,0,0.117134943,0.234269885,0,0,0,0,0,0.214087851
Nick Goody,0,0,0,0,0.523968785,0,0,0,0,0,0,0,0,0.476031215
Daniel Gossett,0.103797468,0.15,0,0,0.342405063,0,0,0.186075949,0,0,0,0,0,0.217721519
Matt Grace,0.04787234,0,0,0,0.006648936,0,0,0,0,0,0,0,0.706117021,0.239361702
Kendall Graveman,0.10724985,0,0,0.138406231,0.035350509,0,0,0,0,0,0,0,0.66327142,0.055721989
Jon Gray,0.021356113,0.139882541,0,0,0.56219968,0,0,0.00373732,0,0,0,0,0,0.272824346
Sonny Gray,0.090038993,0.129032258,0,0.000354484,0.288195675,0,0,0.323289614,0,0,0.000354484,0,0,0.168734491
Chad Green,0.006944444,0,0,0.077160494,0.692901235,0,0,0.008487654,0,0,0,0,0,0.214506173
Shane Greene,0,0.008356546,0,0.154131848,0.044568245,0,0,0.517177344,0,0,0,0,0,0.275766017
Luke Gregerson,0.014478764,0,0,0,0.055019305,0,0,0.468146718,0,0,0.001930502,0,0,0.46042471
Zack Greinke,0.160794941,0.126467931,0.006624511,0,0.390846131,0,0,0.090936465,0,0,0,0,0,0.224330021
A.J. Griffin,0.111279334,0.303557911,0,0.05677517,0.517032551,0,0,0.011355034,0,0,0,0,0,0
Jason Grilli,0.025062657,0,0,0,0.607769424,0,0,0.030075188,0,0,0,0,0,0.337092732
Justin Grimm,0,0.420229406,0,0,0.511991658,0,0,0.051094891,0,0,0,0,0,0.016684046
Robert Gsellman,0.099658036,0.114802149,0,0,0.140693698,0,0,0.490473864,0,0,0,0,0,0.154372252
Reymin Guduan,0,0,0,0,0.638888889,0,0,0,0,0,0,0,0,0.361111111
Deolis Guerra,0.383886256,0.049763033,0,0,0.388625592,0,0,0.002369668,0,0,0,0,0,0.17535545
Javy Guerra,0.059561129,0.094043887,0,0.015673981,0.539184953,0,0,0,0,0,0,0,0,0.29153605
Junior Guerra,0,0,0,0,0.451534733,0,0.247172859,0.193053312,0,0,0,0,0,0.108239095
Josh Hader,0.075835476,0,0,0,0.799485861,0,0,0.011568123,0,0,0,0,0,0.11311054
Jesse Hahn,0.10513245,0.176324503,0,0,0.044701987,0,0,0.574503311,0,0,0.000827815,0,0,0.098509934
Justin Haley,0.142424242,0.093939394,0,0,0.651515152,0,0,0,0,0,0,0,0,0.112121212
Cole Hamels,0.20726958,0.12938122,0,0.189528343,0.241021203,0,0,0.232799654,0,0,0,0,0,0
Jason Hammel,0.035844673,0.094922005,0,0,0.206438765,0,0,0.294059077,0,0,0,0,0,0.36873548
Brad Hand,0.000834028,0.036697248,0,0,0.265221018,0,0,0.246038365,0,0,0,0,0,0.451209341
J.A. Happ,0.115492958,0.052716298,0,0,0.430181087,0,0,0.278873239,0,0,0,0,0,0.122736419
Blaine Hardy,0.271959459,0.140202703,0,0.140202703,0.447635135,0,0,0,0,0,0,0,0,0
Will Harris,0,0.309018568,0,0.419098143,0.271883289,0,0,0,0,0,0,0,0,0
Donnie Hart,0.172073343,0,0,0,0,0,0,0,0,0,0,0,0.47954866,0.348377997
Matt Harvey,0.12492564,0.070791196,0,0,0.289708507,0,0,0.290898275,0,0,0.000594884,0,0,0.223081499
Chris Hatcher,0,0.024801587,0,0.027777778,0.493055556,0,0.20734127,0.000992063,0,0,0,0,0,0.246031746
Andrew Heaney,0.224637681,0.161835749,0,0,0,0,0,0,0,0,0,0,0.61352657,0
Ben Heller,0.154696133,0.331491713,0,0,0.513812155,0,0,0,0,0,0,0,0,0
Jeremy Hellickson,0.302762855,0,0,0.123944743,0.373369148,0,0,0.073292402,0.126247122,0,0,0,0,0.00038373
Heath Hembree,0,0.089334549,0,0,0.537830447,0,0,0.010027347,0,0,0,0,0,0.362807657
Kyle Hendricks,0.273875296,0.074585635,0,0.010260458,0.231254933,0,0,0,0,0,0,0,0.410023678,0
Liam Hendriks,0.004299226,0.035253654,0,0,0.64144454,0,0,0.098882201,0,0,0,0,0,0.220120378
Ariel Hernandez,0.064516129,0.267281106,0,0,0.656682028,0,0,0.011520737,0,0,0,0,0,0
David Hernandez,0,0.230207065,0,0,0.275274056,0,0,0.246041413,0,0,0,0,0,0.248477467
Felix Hernandez,0.25923244,0.214337437,0,0,0.216509776,0,0,0,0,0,0,0,0.225923244,0.083997104
