Name,Age,Tm,Max,Pitch_num,Speed,strikeout,G,GS,W,L,IP
Jack Flaherty,21,St. Louis,FF,358,88.4505618,0.055865922,6,5,,2,21.1
Chris Flexen,22,New York,FT,911,89.0478595,0.039517014,14,9,3,6,48
Mike Foltynewicz,25,Atlanta,FF,2770,90.84153124,0.051624549,29,28,10,13,154
Kyle Freeland,24,Colorado,FT,2573,89.61590286,0.041585698,33,28,11,11,156
Sam Freeman,30,Atlanta,FF,950,91.00972516,0.062105263,58,0,2,,60
Max Fried,23,Atlanta,FF,422,86.74170616,0.052132701,9,4,1,1,26
Carson Fulmer,23,Chicago,FF,427,89.97728337,0.044496487,7,5,3,1,23.1
Michael Fulmer,24,Detroit,FT,2479,92.81221189,0.045986285,25,25,10,12,164.2
Yovani Gallardo,31,Seattle,FF,2291,88.94607972,0.041030118,28,22,5,10,130.2
Giovanny Gallegos,25,New York,FF,363,90.3523416,0.060606061,16,0,,1,20.1
John Gant,24,St. Louis,FT,290,88.82206897,0.037931034,7,2,,1,17.1
Jaime Garcia,30,"Atlanta,New York,Minnesota",FT,2474,87.0609242,0.053354891,27,27,5,10,157.2
Jarlin Garcia,24,Miami,FF,892,90.10762332,0.047085202,68,0,1,2,53.1
Luis Garcia,30,Philadelphia,FF,997,92.92369478,0.060180542,66,0,2,5,71.1
Amir Garrett,25,Cincinnati,FF,1236,87.23838057,0.050970874,16,14,3,8,70.2
Ryan Garton,27,"Seattle,Tampa Bay",FF,353,89.29943343,0.045325779,20,0,,1,22
Matt Garza,33,Milwaukee,FF,1910,87.36748691,0.041361257,24,22,6,9,114.2
Kevin Gausman,26,Baltimore,FF,3357,91.05628546,0.053321418,34,34,11,12,186.2
Sam Gaviglio,27,"Kansas City,Seattle",SI,1169,85.86001712,0.041916168,16,13,4,5,74.1
Cory Gearrin,31,San Francisco,SI,1069,88.60938086,0.059869036,68,0,4,3,68
Dillon Gee,31,"Minnesota,Texas",FF,801,86.61148564,0.051186017,18,4,3,2,49.1
Domingo German,24,New York,FF,253,90.53320158,0.071146245,7,0,,1,14.1
Kyle Gibson,29,Minnesota,FT,2610,88.24534304,0.046360153,29,29,12,10,158
Ken Giles,26,Houston,FF,1116,93.02625448,0.083333333,63,0,1,3,62.2
Lucas Giolito,22,Chicago,FF,704,87.88815977,0.048295455,7,7,3,3,45.1
Mychal Givens,27,Baltimore,FF,1326,93.00188822,0.066365008,69,0,8,1,78.2
Tyler Glasnow,23,Pittsburgh,FF,1220,90.31377049,0.045901639,15,13,2,7,62
Koda Glover,24,Washington,SL,317,93.0022508,0.05362776,23,0,,1,19.1
Zack Godley,27,Arizona,KC,2536,87.54849445,0.0670347,26,25,8,9,155
Erik Goeddel,28,New York,FF,501,87.04750499,0.065868263,33,0,,1,29
Luiz Gohara,20,Atlanta,FF,432,91.49282407,0.071759259,5,5,1,3,29.1
Brad Goldberg,27,Chicago,SI,262,93.42366412,0.011450382,11,0,,,12
Jeanmar Gomez,29,Philadelphia,SI,363,87.98891967,0.05785124,18,0,3,2,22.1
Marco Gonzales,25,"Seattle,St. Louis",SI,701,87.32282454,0.045649073,11,8,1,1,40
Gio Gonzalez,31,Washington,FF,3514,84.70250855,0.05663062,32,32,15,9,201
Miguel Gonzalez,33,"Chicago,Texas",FF,2531,86.97641472,0.039510075,27,27,8,13,156
Nick Goody,25,Cleveland,FF,901,87.67522321,0.07991121,56,0,1,2,54.2
Daniel Gossett,24,Oakland,FF,1581,87.17556962,0.045540797,18,18,4,11,91.1
Matt Grace,28,Washington,SI,753,88.74880319,0.041168659,40,1,1,,50
Kendall Graveman,26,Oakland,SI,1675,91.27021531,0.041791045,19,19,6,4,105.1
Jon Gray,25,Colorado,FF,1874,91.89471154,0.060832444,20,20,10,4,111
Sonny Gray,27,"Oakland,New York",FT,2822,89.57873095,0.056343019,27,27,10,12,163
Chad Green,26,New York,FF,1302,93.15964506,0.087557604,40,1,5,,69
Shane Greene,28,Detroit,FT,1077,90.38727948,0.067780873,71,0,4,3,67.2
