,PEAK,OPS,G,salary_inf,weight,height,age,bats_B,bats_L,bats_R,throws_L,throws_R
267,1,0.7593510455567045,881,3335186.215,200.0,72.0,33,0,0,1,0,1
268,1,0.6472898836954136,473,1496792.5875000001,178.0,74.0,31,0,0,1,0,1
269,1,0.5031497165255128,1326,1493997.3328,180.0,72.0,41,0,1,0,0,1
270,1,0.7613890352710291,1437,892193.3083999999,197.0,73.0,34,0,0,1,0,1
271,0,0.6837430610626487,106,513054.499188,190.0,69.0,28,0,0,1,1,0
272,1,0.7266023470999774,372,373540.85608,225.0,76.0,28,0,1,0,1,0
273,1,0.829694689584761,253,1802575.1064999998,215.0,74.0,29,0,0,1,0,1
274,1,0.7673248161053039,1523,20532319.3845,230.0,74.0,33,0,1,0,1,0
275,0,0.8280403031519775,577,3184523.8082500002,195.0,75.0,28,0,0,1,0,1
276,1,0.6981022052586938,1267,11000000.0,185.0,70.0,37,1,0,0,0,1
277,0,0.5855072463768116,105,176377.9528,165.0,74.0,28,0,0,1,0,1
278,0,0.7918869002390447,229,525000.0,235.0,76.0,26,0,0,1,0,1
279,1,0.6447886319043938,296,3957268.9255499993,210.0,75.0,28,0,0,1,0,1
280,0,0.7335867499321205,110,614439.324,175.0,72.0,32,0,1,0,1,0
281,1,0.7069306930693069,2226,1595070.4222799998,170.0,72.0,40,0,1,0,1,0
282,1,0.7658325942511522,954,3176283.7475,190.0,72.0,30,1,0,0,0,1
283,1,0.6993248486729784,1332,8607594.938000001,220.0,74.0,36,0,0,1,0,1
284,1,0.766965703397904,912,2787456.446,175.0,70.0,32,0,0,1,0,1
285,0,0.6720480977725212,154,176211.45369999998,175.0,70.0,23,1,0,0,0,1
286,1,0.7431071685447135,2379,5602489.998,205.0,74.0,38,0,1,0,1,0
287,1,0.7340629353203345,515,3568281.937425,195.0,71.0,28,0,1,0,0,1
288,0,0.7120187332085847,105,291360.81319500005,205.0,75.0,25,0,1,0,0,1
289,1,0.6148739164696612,370,410548.824,150.0,67.0,28,1,0,0,1,0
290,1,0.8117900509204856,511,3101723.17995,201.0,73.0,30,0,1,0,0,1
291,0,0.782664879869819,125,192807.957195,188.0,72.0,30,1,0,0,1,0
