Years_Played,H,BB,HR,AVE,OBP,Slug_Percent,OPS,RBI,R,SB,2B,3B,AB,SO,DPf,Af,Ef,YSLS,G_all,debut_age,weight,height
3,1,0,0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.3333333333333333,1.0,0,0.0,0,0,6,3.0,1.0,8.0,5.0,52.0,26,30.0,185.0,74.0
2,8,5,1,0.18181818181818185,0.26,0.25,0.51,6.0,3,0.0,0,0,44,8.0,0.0,9.0,0.0,28.0,23,24.0,205.0,75.0
1,2,0,0,0.3333333333333333,0.25,0.3333333333333333,0.5833333333333333,0.0,1,0.0,0,0,6,1.0,0.0,2.0,1.0,48.0,8,23.0,160.0,72.0
7,224,79,30,0.22355289421157684,0.2827272727272727,0.3562874251497006,0.6390146978769733,97.0,93,1.0,35,4,1002,221.0,28.0,150.0,22.0,54.0,376,28.0,192.0,73.0
2,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,1,0.0,0.0,3.0,0.0,62.0,2,23.0,150.0,69.0
1,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,2,1.0,0.0,0.0,0.0,97.0,2,26.0,195.0,72.0
7,383,74,25,0.2579124579124579,0.2912988650693569,0.3589225589225589,0.6502214239919157,161.0,145,10.0,63,6,1485,209.0,178.0,350.0,54.0,22.0,465,23.0,175.0,77.0
1,54,21,2,0.24545454545454545,0.3114754098360656,0.3181818181818182,0.6296572280178838,11.0,18,1.0,10,0,220,17.0,1.0,73.0,15.0,73.0,85,32.0,175.0,70.0
7,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,2,0.0,3.0,12.0,1.0,19.0,157,25.0,215.0,74.0
8,195,83,25,0.2490421455938697,0.3175141242937853,0.384418901660281,0.7019330259540664,114.0,82,1.0,29,1,783,161.0,19.0,102.0,15.0,23.0,346,24.0,195.0,74.0
3,9,1,0,0.3,0.3225806451612903,0.3,0.6225806451612903,1.0,15,1.0,0,0,30,6.0,4.0,29.0,4.0,58.0,65,19.0,186.0,75.0
